"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"A1";"PICO";"PICO";"PICO";"RP2040 microcontroller chip designed by Raspberry Pi in the United Kingdom 2  SPI, 2  I2C, 2  UART, 3  12-bit ADC, 16  controllable PWM channels";"";"";"RP2040 microcontroller chip designed by Raspberry Pi in the United Kingdom 2  SPI, 2  I2C, 2  UART, 3  12-bit ADC, 16  controllable PWM channels";"1mm";"RASPBERRY-PI";"PICO";"";"";"";"";"";"";"";"";
"A2";"74LS14D";"74LS14D";"SO14";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";
"A3";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"A4";"74LS14D";"74LS14D";"SO14";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";
"A5";"74LS14D";"74LS14D";"SO14";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";
"A6";"74HC595D";"74HC595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";
"A7";"YMF262-M";"YMF262-M";"SOIC127P1180X250-24N";"SOUND GENERATOR CIRCUIT, 24 Pin, SOP";"";"";"SOUND GENERATOR CIRCUIT, 24 Pin, SOP";"2.5mm";"Yamaha";"YMF262-M";"";"";"";"";"";"";"";"";
"A8";"YAC512-M";"YAC512-M";"SOIC127P780X230-16N";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"";"";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"2.3mm";"Yamaha";"YAC512-M";"";"";"";"";"";"";"";"";
"A9";"YAC512-M";"YAC512-M";"SOIC127P780X230-16N";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"";"";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"2.3mm";"Yamaha";"YAC512-M";"";"";"";"";"";"";"";"";
"A10";"RC4580";"LM1458D";"SO08";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";
